episode,frames,seconds,joint_limit_rate,joint_hard_limit_rate,joint_jump_rate,ground_penetration_depth,ground_penetration_rate,foot_sliding,foot_slide_rate,foot_contact_count,body_jerk,pelvis_min_h,xy_disp_m,caption
555144,239,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.023252487182617,0.7856937050819397,0.05614291504025459,A skilled individual is honing their sword fighting skills.
557574,154,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.753456115722656,0.8397011160850525,0.07245248556137085,"As the person adjusts their stance, they extend one arm outwards and rotate their body slightly to the side."
558291,162,5.4,0.9320987654320988,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,55.87559127807617,0.5943363308906555,0.17774108052253723,"The man is doing A Monster  Powers Up. A person is crouched low, poised for a powerful jump."
558571,206,6.87,0.3300970873786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53644561767578,0.8024480938911438,3.8612797260284424,"The man is doing A Naughty Boy Walking Motion. He walks with a playful stride, his arms swinging freely beside him."
561026,165,5.5,0.5818181818181818,0.0,0.03048780487804878,0.0,0.0,0.0,0.0,0.0,128.83428955078125,0.8154423236846924,0.7662347555160522,"The man is doing Passing through gaps. They stretch with a flowing motion, reaching up with one arm and back with the other."
568108,156,5.2,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0181884765625,0.37722012400627136,0.14326763153076172,"The individual assumes a wide stance and extends their arms before retracting them while leaning forward, exuding a calm demeanor."
573068,155,5.17,0.9225806451612903,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,77.9018783569336,0.6871641874313354,0.9550628066062927,A man wielding a katana executes dynamic sword techniques.
573447,300,10.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.839218139648438,0.6466013789176941,0.0681561529636383,"A person executes a drop kick by jumping, extending their legs to strike, and landing with focus."
573607,213,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.707555770874023,0.8120794892311096,0.030369775369763374,"The man is doing Bizarre soldier. A warrior assumes a combat-ready position, drawing a sword from their back while crouching slightly, before swinging it forward in a powerful arc, their body twisting for added momentum, and then returning to the starting stance with precision and strength."
576743,189,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37973165512085,0.8490546345710754,0.004695235285907984,"The man is doing Long stick stance. A person maintains balance with a steady stance, using a long stick for support, before shifting weight and rotating their body."
